designation,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 604951130099662592,604951130099662592,133.0402759686726,0.024718886,12.147180459614532,0.013745268,0.7724685845178049,0.03101677,-10.261743662480551,0.031141968,2.9050097251655687,0.023598218,1.0021555,19006.353380102122,4.3613024,14.99012,9981.063377845794,12.441491,15.3406,12838.00805056829,13.046436,14.476651,0.8639488,,,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5687.0693,4.3561,0.0359,1139.0027,0.1047,0.0873,0.0466
Gaia DR3 604951130099662720,604951130099662720,133.03881512496636,0.05072656,12.149244286535998,0.027984545,0.49265092025206303,0.06319129,-4.605143168528215,0.060219325,-2.1651844613075504,0.04825423,1.0076684,4433.0374828696,2.0903335,16.570614,2309.2667560388363,8.201089,16.929857,3048.060948696214,8.413382,16.037836,0.8920212,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5427.53,4.6109,-0.6935,1409.8411,0.0223,0.0184,0.0099
Gaia DR3 604951233178797568,604951233178797568,133.05830500279995,1.443965,12.154338475856147,0.6727962,0.3485194643843114,1.7549276,-9.02741292547502,3.045641,-1.6678145048358635,1.4993007,1.0677358,84.76441972082915,0.8657263,20.866833,45.96273043640424,6.903348,21.182528,114.37185009819966,11.982019,19.602098,1.5804291,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604951263242804224,604951263242804224,133.0629710003936,0.8102394,12.172234390116973,0.39914668,1.5790999054669108,0.9685998,-1.2213339266827252,1.2931015,0.5559636701818103,0.86010486,1.000193,105.54389445147754,0.662876,20.628784,38.65044747747383,3.1491027,21.370655,81.05405176331396,7.440061,19.975958,1.3946972,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604951267540349568,604951267540349568,133.06671471859204,0.37113777,12.176308450907806,0.20973931,5.232783275032244,0.46234187,-29.686398312018234,0.4779114,-5.79120777581166,0.36982638,1.1452601,262.26750856207826,0.7820967,19.640505,30.879485982410838,4.068175,21.614367,388.26963073721583,7.46594,18.275063,3.339304,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604951297602424320,604951297602424320,133.2437833243205,0.10012962,12.032468996376949,0.053534657,1.115066724752007,0.1190067,-11.333680416811003,0.12782075,-2.9335131021921006,0.08657641,1.0098732,1346.8996848324632,1.275621,17.864029,406.3720834551244,7.7986207,18.816233,1384.465824245158,10.198635,16.89469,1.9215431,,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,3716.7654,4.8457,-0.6146,519.3944,0.2796,0.1966,0.1085
Gaia DR3 604951297602581888,604951297602581888,133.23806616575473,0.6092981,12.02988227849632,0.33181885,1.121770460476669,0.7136842,-10.281535041023584,0.78486836,-2.1309326163196376,0.541096,1.0996342,132.48636577060185,0.64570487,20.381939,38.60112986238468,4.6528997,21.372042,167.40692901859683,7.091484,19.188461,2.1835804,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604951301898543104,604951301898543104,133.2439557991422,0.016300865,12.039296833006993,0.008606721,1.157800068203947,0.019501055,-11.014725274735865,0.020698754,-3.0437556717053003,0.014270609,0.94453186,49496.20453183742,11.499165,13.950937,25976.413820401413,35.29798,14.302094,33777.2348173862,26.39356,13.426335,0.8757591,30.860382,6.156719,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,
Gaia DR3 604951331962165632,604951331962165632,133.26052875952305,0.29267696,12.043902961532922,0.15923096,1.2490174822658944,0.35726625,13.524220320366968,0.37921143,-16.54210701846093,0.25676394,0.9949038,292.3804679544355,0.80129904,19.522495,64.87471445587782,6.2374206,20.808353,355.56760513815954,7.435224,18.37059,2.4377632,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604951331964773760,604951331964773760,133.25308282936197,1.3008147,12.049160628381886,0.70765287,5.12056013362544,1.2308981,-12.82467607491899,2.194925,-4.953656541420144,1.2688179,0.9701065,90.8064565317764,0.77661663,20.792074,31.269171604701363,5.4482756,21.600752,114.43059167090644,9.786572,19.60154,1.9992123,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604951435041382912,604951435041382912,133.26083174302983,0.20764807,12.049747797085432,0.110531054,1.3667903393778207,0.24320458,-11.211901225112413,0.2646259,-3.020440649105994,0.17662646,1.0085453,441.3007182241582,0.91597056,19.075531,93.33214830930022,4.961569,20.413464,497.0465440866062,8.565805,18.006903,2.406561,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604951435041384704,604951435041384704,133.26946691562722,0.44188702,12.052849516544665,0.22814159,-0.7441062072740736,0.5362341,-0.569679416542916,0.56364673,-3.3827019929400817,0.39303842,0.98453057,166.83490511338428,0.651179,20.131649,84.44562101359641,4.761636,20.522099,133.36202260826917,7.854873,19.435314,1.0867844,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604951439337494912,604951439337494912,133.2613729788447,0.66487354,12.05134473650823,0.31837395,-2.270376926292387,0.7983386,-3.785562905334303,0.8938878,-10.270183682219132,0.5639426,2.2308357,356.72758527190604,3.0367632,19.306524,87.82259449980498,6.6399846,20.479527,474.149391190857,7.7530355,18.058107,2.4214191,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604951469401221120,604951469401221120,133.27442594716106,0.58747023,12.070079291930492,0.30281043,3.311492450318462,0.7432325,1.7348231763446424,0.7671272,-1.3610685142290322,0.5316031,0.9861277,125.10008725772607,0.61064684,20.444223,43.705878276929155,6.2582,21.237192,156.88805651579275,6.89744,19.25892,1.9782715,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604951469401280256,604951469401280256,133.27679122922814,0.7369806,12.068320090576947,0.36562863,1.8634599812676456,0.8286137,-4.258799416321934,0.99482423,1.2733144381994195,0.7333166,0.9777782,108.74425476368175,0.69388926,20.596352,42.55394494794288,7.07132,21.266193,115.31390773114158,8.318368,19.593191,1.6730022,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604951473697231360,604951473697231360,133.27520756647098,0.029442638,12.059711791118502,0.014490623,0.5601201290282952,0.034930702,-6.70467871353041,0.037534583,-0.47720904041034146,0.025217412,0.99945027,12122.022166429088,3.2368746,15.478429,6397.5998194634585,14.807409,15.8235,8180.8538594581505,8.003902,14.9658985,0.85760117,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5723.464,4.378,-0.2383,1456.4346,0.0613,0.051,0.0273
Gaia DR3 604951542415727744,604951542415727744,133.26475003516592,0.37698996,12.075853274987928,0.20542157,1.1945753880119527,0.43391642,-10.47840686259414,0.47087282,-3.003442643418545,0.3226335,1.0121462,198.16338691004137,0.73333555,19.944809,35.09224151374505,3.6772773,21.475515,244.76928584651554,9.090213,18.776003,2.6995125,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
